LocationNormalized,CustomerID,total_spent,transactions,city_rank
JAMMU,C7916279,91500.0,1,1
ROHTAK,C6116776,90599.0,1,1
KOTA,C1619070,90265.0,1,1
N M JOSHI MARG LOWER PAREL MUMBAI,C7628228,90189.0,1,1
ADIPUR,C9014285,90000.0,1,1
GUWAHATI,C5938619,90000.0,1,1
PS ABERDEEN PORT BLAIR,C2313758,90000.0,1,1
SAFAT,C6426921,90000.0,1,1
SILCHAR,C2726611,90000.0,1,1
KIGALI,C1933050,89280.0,1,1
FEROZEPUR,C6629385,88967.0,1,1
HAMIRPUR,C8821115,88000.0,1,1
KANNUR,C5710588,86987.0,1,1
AMMIS BIRIYANI BANGALORE,C3139582,85330.0,1,1
KOPPAL,C3111174,85140.0,1,1
BHILWARA,C1811630,83950.0,1,1
KALYAN W,C3730715,83642.0,1,1
FATEHGARH SAHIB,C7916973,82656.0,1,1
SIRKALI,C3840085,82590.0,1,1
RESTAURENT BANGALORE,C7618050,82450.0,1,1
BHOPAL,C1932962,82302.47,1,1
SOUTHALL,C8533246,81800.0,1,1
AJMAN,C6739879,80618.0,1,1
PATPARGANJ,C3616791,80600.0,1,1
NAKODAR,C6010361,80520.0,1,1
BARABANKI,C2827443,80195.0,1,1
DUBAI,C3611015,80184.0,1,1
MAHADEVAPURA VILLAGE BANGALORE,C4010814,80000.0,1,1
SINGAPORE,C3913761,80000.0,1,1
DURGAPUR,C3493123,79998.0,1,1
UDAIPUR,C5511467,79497.52,1,1
SURAT,C4878475,77989.0,1,1
ABU DHABI,C4227048,75644.0,1,1
SAHIB MANDI GOBINDGARH,C3339320,75604.0,1,1
AGARTALA,C8156485,75500.0,1,1
.,C1537978,75199.0,1,1
FIRE BRIGDE MALAD WEST MUMBAI,C7815763,75000.0,1,1
HOOGHLY,C3020414,75000.0,1,1
NR NIMH SECUNDERABAD,C1222891,75000.0,1,1
THIRUVALLUR,C2453739,75000.0,1,1
WEST MUMBAI,C7122676,75000.0,1,1
PRATAPGARH,C5427113,74500.0,1,1
DHAHRAN,C3538464,74000.0,1,1
MOMBASA,C2118915,73464.0,1,1
AMBALA,C2437261,72899.0,1,1
SAHNEWAL,C5626467,72062.0,1,1
LAB TRICHY,C2413585,70270.0,1,1
KUTTOOR PANCHAYATH,C2642864,70000.0,1,1
MADURAI,C6322680,70000.0,1,1
SANPADA,C2437852,70000.0,1,1
SONIPAT,C4727774,70000.0,1,1
VIJAYAWADA,C5675047,69956.0,1,1
NIRJULI,C2017369,69800.0,1,1
RISHIKESH,C3247318,69596.0,1,1
BANGALORE KT,C8530264,68847.0,1,1
INTERIOR FARIDABAD,C3415334,68680.3,1,1
BELAPUR NAVI MUMBAI,C2032788,68492.0,1,1
THANE (W),C2230255,68250.0,1,1
NANGAL,C7118582,66900.0,1,1
VERNA SALCETE GOA,C1227674,66358.0,1,1
VAPI,C6110480,65826.0,1,1
AMRITSAR,C4526737,65399.0,1,1
ZIRAKPUR,C1520529,64998.0,1,1
UJJAIN,C8035839,64900.0,1,1
HAMPTON PARK,C3841522,64716.0,1,1
PORT ELIZABETH,C2029188,64700.0,1,1
CHHATTISGARH,C7354179,64606.0,1,1
KATGHORA,C7942586,64351.0,1,1
NR HERITAGE FRESH HYDERABAD,C1512939,64090.0,1,1
RUDRAPUR,C4526852,63899.0,1,1
CHAMARAJANAGAR,C7857024,63780.0,1,1
BACK SIDE HYDERABAD,C6816955,63700.0,1,1
BOISAR,C3890722,63500.0,1,1
SRINAGAR,C5436618,63378.06,1,1
GONDA,C7329616,63000.0,1,1
ULHASNAGAR,C5830361,63000.0,1,1
TELEPHONE EXCHANGE MUMBAI,C4714766,62719.02,1,1
TRIVANDRUM,C4111920,62500.0,1,1
PHASE BANGALORE,C5430265,62000.0,1,1
ROURKELA,C9010037,62000.0,1,1
HOSUR,C2037336,61990.0,1,1
PETROLBUNK BANGALORE,C7734916,61900.0,1,1
MANDI DABWALI,C3217085,61840.0,1,1
JAMNAGAR,C3034716,61800.0,1,1
THANE W,C5874370,61500.0,1,1
KANCHEEPURAM,C8822387,61389.0,1,1
KATRA,C1815861,61159.19,1,1
MALLESWARAM WEST BANGALORE,C3418060,60937.55,1,1
SONEPAT,C1838492,60166.0,1,1
BHAVNAGAR,C1436480,60000.0,1,1
ENCLAVE HYDERABAD,C3113479,60000.0,1,1
PONDICHERRY,C2726256,60000.0,1,1
PURI,C8012913,60000.0,1,1
STORE HYDERABAD,C2127931,60000.0,1,1
SHAHJAHANPUR,C1129733,59790.0,1,1
THANE EAST,C7139833,59789.0,1,1
YERPEDU,C1631521,59500.0,1,1
JALPAIGURI SILIGURI,C8743988,59097.0,1,1
FUNCTION HYDERABAD,C7719325,59036.0,1,1
ANDHERI EAST MUMBAI,C5115129,58359.0,1,1
KHAR WEST MUMBAI,C7817035,58114.0,1,1
PANIPAT,C7337092,58097.0,1,1
ROAD BANGALORE,C8518154,57995.0,1,1
KADI,C1934733,57696.0,1,1
ANDHERI E MUMBAI,C7357177,57680.05,1,1
OLD AIRPORT MUMBAI,C7341724,57500.06,1,1
NARNAUL,C5716462,57500.0,1,1
MANGALORE,C8166138,57317.0,1,1
DHARUHERA,C5344652,56795.73,1,1
SIRHIND,C8927820,56733.0,1,1
DHURI,C3620432,56500.0,1,1
MOGA,C2338061,56500.0,1,1
AJMER,C1618079,55981.8,1,1
KANDIVALI WEST MUMBAI,C6129864,55980.0,1,1
PHASE I PHINJEWADI PUNE,C2234840,55864.0,1,1
BAMBOLIM,C4817560,55852.0,1,1
CHESTER,C1419746,55745.0,1,1
AMBERNATH,C6961681,55683.46,1,1
STATION BANGALORE,C5527773,55680.0,1,1
RD BANGALORE,C2982670,55306.15,1,1
BHILAI,C1135978,55000.0,1,1
PALAKKAD,C8024847,55000.0,1,1
RAJSAMAND,C1610082,55000.0,1,1
ANNAPOORNESHWARI TEMPLE BANGALORE,C3016744,54540.0,1,1
HALOL,C7519313,54500.0,1,1
ADAMPUR,C7238083,54499.0,1,1
BAHADURGARH (HARYANA),C3320071,54298.0,1,1
JHAJJAR,C6325592,54283.0,1,1
MIRA ROAD E,C3538841,54275.66,1,1
MULUND WEST,C4688124,54040.0,1,1
PORTBLAIR,C6837131,54000.0,1,1
PETLAD,C5640653,53993.0,1,1
GUNJAN GIDC VAPI,C8522740,53011.4,1,1
RAJPURA,C1138667,53000.0,1,1
GHODBUNDER ROAD THANE (W) THANE,C4119823,52664.0,1,1
BHARUCH,C5736459,52660.0,1,1
NAWANSHAHR,C7720928,52459.5,1,1
MAHIM (W) MUMBAI,C3819625,52110.0,1,1
RAMNAGAR,C2827176,51730.0,1,1
PORT HARTCOURT,C7420577,51586.5,1,1
BIKANER,C1527723,51268.0,1,1
INDOORE,C8818054,51025.78,1,1
KOTTAYAM,C7838569,51000.0,1,1
ASANSOL,C2729889,50857.5,1,1
2 THAKUR VILLAGE KANDIVALI  MUMBAI,C5827368,50830.0,1,1
GORAKHPUR,C6624636,50830.0,1,1
DARIBA,C9010776,50750.0,1,1
HUBLI,C5022773,50400.0,1,1
CHITTORGARH,C2140956,50250.0,1,1
KARJAT RAIGAD,C4212683,50170.0,1,1
UDUPI,C5936359,50100.0,1,1
BALOTRA,C1432078,50000.0,1,1
BARAMATI,C3519141,50000.0,1,1
BARIATU ROAD RANCHI RANCHI,C4342235,50000.0,1,1
BARMER,C2234937,50000.0,1,1
BHINMAL,C1813823,50000.0,1,1
BHIWANI,C3914051,50000.0,1,1
CITY PHASE III HARYANA GURGAON,C1435711,50000.0,1,1
COCKEYSVILLE,C6837369,50000.0,1,1
DIST PUNE PUNE,C1120832,50000.0,1,1
FIROZABAD,C3917756,50000.0,1,1
FIROZPUR,C8640218,50000.0,1,1
FREMONT,C4323784,50000.0,1,1
GOHANA,C3268884,50000.0,1,1
JAMSHEDPUR,C5614525,50000.0,1,1
JHANSI,C3241345,50000.0,1,1
