LocationNormalized,CustomerID,total_spent,transactions,city_rank
WALTHAM,C2926670,11923.0,1,1
KAILASH SOUTH DELHI NEW DELHI,C3161424,11890.24,1,1
LANDHRAN,C8827948,11875.0,1,1
STYLE BANGALORE,C5239436,11866.7,1,1
SRIPERUMBUDUR TK KANCHEEPURAM,C8942711,11832.0,1,1
OPP HOTEL SHABRI MUMBAI,C8077142,11808.0,1,1
DONA PAULA,C3337111,11800.0,1,1
MUKUNDAPUR KOLKATA,C4515042,11800.0,1,1
KHURD PUNE,C3134415,11760.0,1,1
DEVANAHALLI BANGALORE,C8731211,11741.0,1,1
HENDERSON,C3942489,11736.0,1,1
CARMONA,C3080142,11726.0,1,1
HSR LAYOUT BENGALURU,C3815979,11718.5,1,1
MAU,C8719415,11700.0,1,1
PLAZA THANE,C3510477,11700.0,1,1
TRIVANDRUM THIRUVANANTHAPURAM,C3133460,11700.0,1,1
ABU ROAD,C3215757,11698.0,1,1
DWARKA (DELHI),C8035658,11692.0,1,1
BANGALROE,C3025043,11690.0,1,1
MAHILPUR,C6579119,11690.0,1,1
MOOSAPET HYDERABAD,C2135492,11690.0,1,1
RD NO 2 GOREGAON (E) MUMBAI,C3936058,11690.0,1,1
DOMBIVILI,C6142344,11679.0,1,1
SAMASTIPUR,C7665087,11650.0,1,1
SPRINGS BANGALORE,C1620645,11639.0,1,1
ABOHAR (FEROZEPUR),C6858223,11618.0,1,1
LOWER PAREL W MUMBAI,C3079033,11617.0,1,1
MADHEPURA,C4619076,11611.0,1,1
NAGAR ADUGODI POST BANGALORE,C6798280,11605.0,1,1
COMPA COLA MUMBAI,C1299026,11599.0,1,1
RANGIA,C2028772,11590.0,1,1
DIST VALSAD OPP LIC OFFICE VAPI,C4041667,11582.0,1,1
VILLAGE K R PURAM HOBLI BANGALORE,C3024945,11564.0,1,1
DHARAMSALA DHARAMSALA,C5964090,11500.0,1,1
NEAR HUSKUR GATE BANGALORE,C6691676,11500.0,1,1
SIRIFORT ROAD NEW DELHI,C2819511,11500.0,1,1
CHANDAULI,C1213940,11499.0,1,1
RATANGARH,C5638445,11498.0,1,1
BIDHANNAGAR,C8335082,11484.0,1,1
PHILLAUR,C8213725,11468.7,1,1
NR TV9 OFFICE MUMBAI,C2721858,11466.0,1,1
ADAMBAKKAM,C4514965,11450.0,1,1
DUBLIN,C1042419,11450.0,1,1
GARHSHANKAR,C1511140,11450.0,1,1
GORAYA,C4932223,11450.0,1,1
JAGADHARI,C5116041,11450.0,1,1
MANINAGAR,C5512563,11450.0,1,1
POONAMALLI,C7614632,11440.0,1,1
DHANBAD JHARIA,C1033120,11408.0,1,1
PASCHIM MEDINIPUR KHARAGPUR,C7917522,11399.0,1,1
PORUORIM,C3229236,11397.0,1,1
TALEIGAD,C6729219,11390.0,1,1
SALCETE SOUTH GOA,C2840578,11380.0,1,1
GARDEN GHAZIABAD,C1415181,11361.0,1,1
PADEKAR GAS NASHIK,C7140512,11360.0,1,1
THORAIPAKKAM CHENNAI,C7839227,11354.78,1,1
LAYOUT BANGALORE,C4214873,11340.0,1,1
VISHNUNAGAR KALYAN THANE,C5014963,11303.0,1,1
BABA BAKALA,C2190240,11300.0,1,1
HASSAN,C8843657,11300.0,1,1
IVERKALA,C8420614,11300.0,1,1
NAGERCOIL,C2384575,11300.0,1,1
PARK PHASE-I HINJEWADI PUNE,C5237712,11300.0,1,1
PATHANKOT [PB],C2183247,11300.0,1,1
SHAHID BHAGAT SINGH NAGAR,C1519260,11300.0,1,1
SALBONI MIDNAPORE W,C5223357,11295.0,1,1
POINT MUMBAI,C8532071,11274.0,1,1
UKHRUL,C1023961,11264.06,1,1
ENTERPRISE KOLKATA,C3224320,11241.0,1,1
NALAGARH,C1422435,11232.0,1,1
BHATINDA,C1636688,11222.0,1,1
GIURGAON,C6033232,11200.0,1,1
STAGE BANGALORE,C7819865,11150.0,1,1
BANGLORE,C5463031,11147.65,1,1
ANIK DEPOT MUMBAI,C5232377,11138.0,1,1
ANANDNAGAR AHMEDABAD,C1811684,11130.0,1,1
RAIGARH (MH) PANVEL,C7234525,11115.0,1,1
HSG SOC PUNE,C2044242,11113.0,1,1
NAGAWARA BANGALORE,C4139945,11100.0,1,1
NIKETAN BUILDING NAVI MUMBAI,C6041217,11100.0,1,1
MIRZAPUR,C2323967,11099.0,1,1
KALIKAMBAL KOIL PARRYS CHENNAI,C5128371,11070.0,1,1
PHASE-1 GURGAON,C2013485,11062.72,1,1
MUMBAI PAREL,C5886223,11044.0,1,1
NAGAR PUNE,C2342651,11025.0,1,1
KALYAN E,C6225420,11012.0,1,1
AHMADNAGAR,C4232118,11000.0,1,1
DELHI DELHI,C6728165,11000.0,1,1
DUKIRKLINE,C2188337,11000.0,1,1
KALWA W THANE,C7819655,11000.0,1,1
MALVERN,C4932731,11000.0,1,1
NALGONDA DIST,C8042416,11000.0,1,1
NR TULSI BUNGLOWS AHMEDABAD,C2731868,11000.0,1,1
SRIVILLIPUTHUR,C6412651,11000.0,1,1
TALEGAON,C2432524,11000.0,1,1
TINSUKIA,C6180886,11000.0,1,1
(W)  MUMBAI,C3133817,10999.0,1,1
BANASKANTHA,C3234892,10999.0,1,1
BHOJPUR,C1931436,10999.0,1,1
RAEBARELI,C5825744,10999.0,1,1
ROAD AIROLI NAVI MUMBAI,C3213089,10999.0,1,1
TIRUPATI CHITTOOR DIST,C5534972,10999.0,1,1
DAVANGERE,C6210728,10998.0,1,1
SUBHASH MARG C SCHEME JAIPUR,C8921569,10975.0,1,1
LBS MARG THANE W THANE,C7427953,10955.0,1,1
MURBAD KALYAN,C5623751,10914.0,1,1
ESTATE ANDHERI (W) MUMBAI,C7389266,10906.0,1,1
REPUBLIC DEMOCRATIC OF CANGO,C2237679,10900.0,1,1
KOLIWADA WORLI COLONY MUMBAI,C6310948,10890.0,1,1
PART II DELHI,C6532615,10871.9,1,1
WAYANAD,C9084443,10870.0,1,1
ANDHERI (W) OSHIWARA MUMBAI,C1419621,10869.0,1,1
WHARF RESTAURNT BANGALORE,C4587214,10864.0,1,1
BSNL TELEPHONE OFFICE VAPI,C1612281,10844.0,1,1
CHAMPA,C7233449,10833.33,1,1
OF INDIA ABIDS BRANCH HYDERABAD,C7733125,10820.85,1,1
IND ESTATE JOGESHWARI W MUMBAI,C7221843,10800.0,1,1
SULTANPUR,C1527835,10800.0,1,1
CITY PO BANGALORE,C3524526,10798.07,1,1
SANTACRUZ MUMBAI,C6140239,10798.0,1,1
GARDEN RD JOGESHWARI WEST MUMBAI,C1939952,10796.0,1,1
SCHOOL KHARAGPUR,C6937414,10782.0,1,1
NAVI MUMBAI PANVEL,C1725145,10750.0,1,1
BURWOOD EAST,C4224871,10746.0,1,1
AMBEDKAR NGR POLICE STN SOUTH DELHI,C7032311,10741.0,1,1
WAYNAD,C2219941,10726.71,1,1
JAIL ROAD NASHIK ROAD NASHIK,C3322816,10718.1,1,1
DIST-GANDHINAGAR,C3533359,10700.0,1,1
SENDHWA,C2248989,10700.0,1,1
MULUND MUMBAI,C7134216,10696.0,1,1
VA 22079 3463,C6028977,10688.0,1,1
NR BANK OF BARODA MUMBAI,C8813148,10660.0,1,1
JUNCTION BANGALORE,C2342989,10653.0,1,1
PERUNGUDI CHENNAI,C8053671,10622.0,1,1
GANGANAGAR,C6991063,10613.0,1,1
THEATRE BENGALURU,C4818065,10605.0,1,1
HALDWANI,C7141616,10598.0,1,1
KALYANAMANDAPAM HYDERABAD,C1637833,10586.0,1,1
HOSPITAL VIKHROLI E MUMBAI,C7615378,10566.0,1,1
ROAD  BANGALORE,C5239433,10554.0,1,1
DEOPUR DHULE,C3923212,10550.0,1,1
BILEKHALE BANGALORE,C6126551,10543.71,1,1
NAGAR OKHLA NEW DELHI,C5138443,10531.0,1,1
ITANGAR,C5615625,10500.0,1,1
MARRIAGE GARDEN JAIPUR,C6932892,10500.0,1,1
N T PUNE,C6933462,10500.0,1,1
NAKA MUMBAI,C1335278,10500.0,1,1
SURYAPET NALGONDA(DIST),C2520287,10500.0,1,1
SANJOSE,C5929468,10492.0,1,1
RIIHIMAKI,C1659963,10466.4,1,1
PETHE GHOKHALE ROAD THANE (W),C4937928,10452.0,1,1
PERINTHAALMANNA,C6333888,10450.0,1,1
RATNAGIRI,C2331137,10424.0,1,1
".-PURAM, BANGALORE",C3381480,10419.83,1,1
KOTA BALLABH BARI,C8633675,10417.22,1,1
ST THANE,C8338673,10400.0,1,1
ANUGUL,C8910622,10378.17,1,1
KALYAN EAST,C8666061,10370.0,1,1
MAHIM MUMBAI,C2515148,10370.0,1,1
THIRUVALLUR DT,C7460936,10354.0,1,1
KAHIRE MARG WORLI MUMBAI,C7516450,10348.0,1,1
RAMGARH,C2813352,10348.0,1,1
MAL JALPAIGURI,C6166231,10343.0,1,1
WIRRAL,C6823147,10333.0,1,1
W BEHIND JANGLESHWAR MANDIR MUMBAI,C8131073,10309.0,1,1
MARKET SANJAY GRAM RD GURGAON,C7541229,10306.0,1,1
CHACKAN,C5619531,10300.0,1,1
RAJGANGPUR,C1313818,10250.0,1,1
CURTORIM,C6313435,10244.0,1,1
MAHAMAYA NAGAR,C1017144,10234.0,1,1
ANDHERI MUMBAI,C8519819,10200.0,1,1
BASHEER BAGH HYDERABAD,C4017869,10200.0,1,1
LONDON,C3514419,10200.0,1,1
VIMANAPURA BANGALORE,C1817734,10199.0,1,1
DEVONSHIRE,C6319390,10196.55,1,1
TELANGANA,C2731022,10187.5,1,1
SHAHPURA,C4414627,10184.0,1,1
AMESTERDAM,C7337568,10159.0,1,1
NOWGONG,C8419216,10150.0,1,1
BAHRAICH,C3238858,10122.0,1,1
INDIA OFFICE RANCHI,C3938224,10101.0,1,1
NOIDA SEC 77,C1533638,10100.0,1,1
VAN UDYAN MUMBAI,C6211229,10088.0,1,1
PRAKASAM DIST (AP),C1663471,10065.0,1,1
THALASSERY,C8428580,10056.0,1,1
DAHANU,C7610934,10050.0,1,1
KAKINADA EAST GODAVARI,C8329534,10050.0,1,1
SANTACRUZ (W) MUMBAI,C8826069,10050.0,1,1
BHOLATH,C4110959,10024.0,1,1
THIRUVALLUR DIST,C5837388,10021.0,1,1
CHURCHANPUR,C7040516,10020.0,1,1
KACHOHALLI VILLAGE BANGALORE,C7810345,10011.0,1,1
KURALI,C8127652,10011.0,1,1
(MCORP) 1/C NR HOTEL GRANT MUMBAI,C3721826,10000.0,1,1
(W) THANE,C6025178,10000.0,1,1
AGARA,C1768344,10000.0,1,1
ARARIA,C2312318,10000.0,1,1
ARIYALUR,C7933055,10000.0,1,1
ARIYALUR DT,C8087958,10000.0,1,1
AYANAVARAM CHENNAI,C7343528,10000.0,1,1
BARAJAGULI,C5015066,10000.0,1,1
BORIVALI W MUMBAI,C6210426,10000.0,1,1
BUDAUN,C2317638,10000.0,1,1
CHANDANNAGAR HAVELI PUNE,C5112032,10000.0,1,1
CHITTOOR,C7432413,10000.0,1,1
CUDDAPAH,C3419825,10000.0,1,1
DECATHLON SPORTS AHMEDABAD,C5830987,10000.0,1,1
EXPRESS HIGHWAY MUMBAI,C1129392,10000.0,1,1
FRIDABAD,C3224288,10000.0,1,1
GADARPUR,C9016746,10000.0,1,1
GARDENS MADHAPUR HYDERABAD,C2538033,10000.0,1,1
GHAZIABAD GHAZIABAD,C2717651,10000.0,1,1
GODAVARIKHANI,C3216732,10000.0,1,1
GOMATI,C1439633,10000.0,1,1
INTERNATIONAL SCHOOL DELHI,C3625391,10000.0,1,1
JEHANABAD,C2337135,10000.0,1,1
KALYANINAGAR KALYANI NAGAR PUNE,C5634945,10000.0,1,1
KANYAKUMARI,C6037360,10000.0,1,1
KAROL BAGH DELHI,C2921632,10000.0,1,1
KHAMMAM,C5418348,10000.0,1,1
KOHIMA,C5315612,10000.0,1,1
MAHABUBNAGAR,C8220982,10000.0,1,1
MAHUDHA,C5927821,10000.0,1,1
MEHRAULLI,C2075726,10000.0,1,1
MEHSANA,C1836044,10000.0,1,1
MUKSAR,C1220190,10000.0,1,1
MUMBAI THANE,C5814519,10000.0,1,1
NAGAR A BLOCK CHENNAI,C3630245,10000.0,1,1
NAGAR ANDHERI EAST MUMBAI,C3016155,10000.0,1,1
NARASARAOPET GUNTUR,C1659648,10000.0,1,1
NAROL AHMEDABAD,C1839532,10000.0,1,1
NEAR SAHAKARI BANK PUNE,C1629530,10000.0,1,1
NO 223 GATE MUMBAI,C1698684,10000.0,1,1
NORTH DELHI,C7498017,10000.0,1,1
NR ANY TIME WATER COMPANY BANGALORE,C8513578,10000.0,1,1
NURMAHAL,C7932226,10000.0,1,1
OFFICE VADODARA,C8831438,10000.0,1,1
OPP GOPIKA STORE HOSUR,C1825936,10000.0,1,1
PANVEL DIST RAIGAD,C7829253,10000.0,1,1
PHURSUNGI PUNE,C2410791,10000.0,1,1
PONNERI,C3858417,10000.0,1,1
POOJA BLDG MALAD WEST MUMBAI,C4338334,10000.0,1,1
POST TC PALYA CHURCH BANGALORE,C2350134,10000.0,1,1
PUNE M CORP PUNE,C8037459,10000.0,1,1
PURVAVANTAGE APT BENGALURU,C3411056,10000.0,1,1
RAIGARH (CHHATTISGARH),C8725486,10000.0,1,1
RAILWAY STATION NIGDI PUNE,C7821783,10000.0,1,1
S A S NAGAR,C6645745,10000.0,1,1
SCHOOL BANGALORE,C3938820,10000.0,1,1
SCHOOL KALYANI,C7113135,10000.0,1,1
SHEBOYGAN,C5734141,10000.0,1,1
SHIKARPUR,C3632581,10000.0,1,1
SHIVAMOGGA,C3429525,10000.0,1,1
SITAMARHI,C9037475,10000.0,1,1
SRUNGAVARAPUKOTA,C3636562,10000.0,1,1
STORE BANGALORE,C3718818,10000.0,1,1
SUBRAMANYAPURA POST BANGALORE,C5834425,10000.0,1,1
SULTANPUR LODHI,C8817268,10000.0,1,1
TADEPALLI,C4315163,10000.0,1,1
TARN TARAN,C6427930,10000.0,1,1
TEH GURGAON GURGAON,C2739581,10000.0,1,1
THIRUNELVELI DIST,C7522953,10000.0,1,1
THIRUVANNAMALAI (D),C5919238,10000.0,1,1
TIRUCHIRAPALLY (TRICHY),C9058127,10000.0,1,1
VIANAYAKA CIRCLE BANGALORE,C3040023,10000.0,1,1
VIJAYAWADA KRISHNA,C4712440,10000.0,1,1
VIJAYAWADA KRISHNA KRISHNA,C8436061,10000.0,1,1
VINAYAGAR KOVIL HOSUR,C6217582,10000.0,1,1
NORTH GOA,C4312869,9999.5,1,1
BUXAR,C4633175,9999.0,1,1
DARIBA RAJSAMAND,C5611636,9999.0,1,1
FANGANI,C8329946,9999.0,1,1
KISHANGARH,C3776881,9999.0,1,1
NR WESTERN EXPRESS HIGHWAY MUMBAI,C1825176,9999.0,1,1
TO NEVILLE HOUSE MUMBAI,C8022711,9999.0,1,1
VILUPURAM DIST,C1633251,9999.0,1,1
DEOLI,C6323628,9977.0,1,1
CORNER DELHI,C2528284,9950.0,1,1
PANCHKULA PINJORE,C3426467,9950.0,1,1
VASCO-DA-GAMA,C9022732,9945.0,1,1
SOCIETY BANGALORE,C6621335,9928.0,1,1
RD VILLAGE DUNDAHERA GURGAON,C7433647,9912.0,1,1
AL SALMIYA,C9023427,9900.0,1,1
HISSAR,C6743786,9900.0,1,1
OPP SAI BABA TEMPLE HYDERABAD,C8018779,9900.0,1,1
PADHAR,C5237239,9900.0,1,1
KOTHRUD PUNE (M CORP) PUNE PUNE,C3894430,9894.0,1,1
TANENGLONG,C1916768,9894.0,1,1
BANDA,C5314486,9890.0,1,1
ELANJI,C8532450,9890.0,1,1
FOUR PARGANAS,C8736315,9890.0,1,1
BAGESHWAR,C8513470,9889.0,1,1
SAMBHAL,C8930635,9889.0,1,1
JANKIPURAM LUCKNOW LUCKNOW,C6720329,9888.0,1,1
RIBANDAR,C2710149,9886.0,1,1
THANE E,C7017568,9869.21,1,1
SHEIKH ZAYED ROAD,C5525774,9865.0,1,1
QUINCY,C5539812,9856.0,1,1
ATTAPUR HYDERABAD,C3931933,9850.0,1,1
TOWER NO 6 MUMBAI,C3015972,9850.0,1,1
NR SAI MANDIR MUMBAI,C7536834,9840.0,1,1
CHENNAI SALIGRAMAM,C3738967,9835.0,1,1
SOMAJIGUDA HYDERABAD,C7864121,9802.0,1,1
PALGHAR THANE,C3170439,9800.0,1,1
NASHIK ROAD NASHIK,C1241659,9785.0,1,1
CHROMPET CHENNAI,C3442348,9770.0,1,1
VIRAR W,C3921215,9739.0,1,1
OFF M G ROAD MUMBAI,C7334282,9736.0,1,1
PATRAPUR,C7518628,9710.0,1,1
MOUNTAIN VIEW,C8032159,9709.0,1,1
SAGAR,C7421235,9680.0,1,1
SAS NAGAR (MOHALI),C6912828,9650.0,1,1
DASAI,C2926943,9642.5,1,1
RESIDENCY THANE,C3018056,9632.0,1,1
SAI TEMPLE ROAD BANGALORE,C4326122,9611.58,1,1
SHOP SALEM,C8728063,9606.0,1,1
KHARAR SAS NAGAR (MOHALI),C7660917,9603.0,1,1
SCHL JAYANAGAR 2ND BLOCK BENGALURU,C8627778,9600.0,1,1
UDUPI KUNJIBETTU,C2522446,9600.0,1,1
TEMPLE HYDERABAD,C2111438,9598.0,1,1
MERCES,C8121350,9574.0,1,1
UDHAM SINGH NAGAR,C7130871,9574.0,1,1
SECTOR 2 BANGALORE,C3295877,9550.0,1,1
VASAI VIRAR MUNICIPAL PALGHAR VIRAR,C6234882,9547.78,1,1
THIRUNMUYUR,C3033577,9538.0,1,1
THANDALAM,C5721855,9504.0,1,1
MALAD WEST MUMBAI,C8232239,9500.0,1,1
MANIPAL UDUPI,C4587668,9500.0,1,1
PANVEL OLD PANVEL DIST RAIGAD,C5531262,9500.0,1,1
MHOW,C5039292,9499.0,1,1
DURG - DISTRICT,C2417342,9495.0,1,1
ISLAMPUR,C1025375,9495.0,1,1
NONGSTOIN,C6018072,9490.0,1,1
EXPRESSWAY NOIDA,C4227623,9472.5,1,1
GOVT HIGH SCHOOL HYDERABAD,C1896433,9437.0,1,1
AGRIPADA MUMBAI,C1723948,9417.65,1,1
BILARI,C7915850,9410.0,1,1
BUDDHA NAGAR NOIDA,C3490834,9409.0,1,1
KARN KARNAL,C6628080,9400.0,1,1
NGR EXTENTION CHENNAI,C2912024,9380.75,1,1
NOIDA NOIDA,C1841531,9363.0,1,1
HAPUR,C5513768,9352.0,1,1
HOOGLY,C5429272,9349.0,1,1
CHURCH MUMBAI,C8613226,9337.0,1,1
RUPNAGAR NANGAL,C8312724,9330.0,1,1
TAORU,C3745643,9330.0,1,1
TOWN SUPER MARKET BANGALORE,C1625247,9328.0,1,1
COLABA,C5123288,9308.0,1,1
SCHOOL K V RANGAREDDY,C6031568,9305.0,1,1
POLICE STATION GUWAHATI,C5913766,9304.0,1,1
BHAYANDER (E) MUMBAI,C3393880,9300.0,1,1
MAKDAVAN,C6222731,9300.0,1,1
THAKURPUKUR,C6035642,9300.0,1,1
WATER TANK COIMBATORE,C3982889,9300.0,1,1
STAND KOLKATA,C7018792,9299.0,1,1
ABUDHABI,C4728069,9295.0,1,1
SIRSA,C1580289,9250.0,1,1
ADDIS ABABD,C3536723,9246.0,1,1
KALYANANAGAR BANGALORE,C4364844,9230.0,1,1
CRAWFORD MARKET MUMBAI,C1795834,9215.12,1,1
ANDHERI(E) MUMBAI,C8513614,9200.0,1,1
HOTEL CHEMBUR EAST MUMBAI,C2718936,9200.0,1,1
HOTEL OPP LOTUS PETROL PUMP MUMBAI,C8642175,9200.0,1,1
MANDI,C1867541,9200.0,1,1
NEAR SBH BANK HYDERABAD,C3239482,9189.48,1,1
FIELD OPP IIPL GATE NO 3 BANGALORE,C6432172,9158.69,1,1
KUNNAMKULAM,C6914361,9158.0,1,1
THANJAVUR DT,C3714329,9157.0,1,1
ANDHERI WEST MUMBAI,C1228742,9154.0,1,1
SHAJAPUR,C1523843,9147.0,1,1
BUDRUK PUNE,C5728031,9143.0,1,1
UPLANDS VISAKHAPATNAM,C8038466,9137.0,1,1
UTTAR DINAJPUR,C5323455,9129.0,1,1
VIRAR,C3420465,9120.89,1,1
BEHIND RYTHU BAZAR HYDERABAD,C4614191,9120.5,1,1
CHEMBUR E MUMBAI,C5541731,9113.0,1,1
THANE BELAPUR RD NAVI MUMBAI,C8798665,9106.84,1,1
SINNAR DIST NASHIK,C5037219,9100.0,1,1
TOHANA FATEHABAD,C5117125,9100.0,1,1
BHAWARNA,C3035155,9083.0,1,1
COMMERCIAL COMPLEX MUMBAI,C1042514,9039.0,1,1
KRISHNAGIRI(DT),C4019270,9039.0,1,1
HELSINKI,C7036656,9020.0,1,1
OYAN,C5329463,9004.0,1,1
APARTMENTS PATPARGANJ DELHI,C7432786,9000.0,1,1
BURUCH,C3633186,9000.0,1,1
CHITRAKOOT,C8318042,9000.0,1,1
ELAPPULLY PANCHAYATH,C7217981,9000.0,1,1
FARRUKHNAGAR GURGAON,C3335770,9000.0,1,1
GURGGAON,C8911036,9000.0,1,1
HOTEL NEW DELHI,C6125986,9000.0,1,1
KOREGAON PARK PUNE,C7342692,9000.0,1,1
MANALI 21/26 KULLU,C2027517,9000.0,1,1
MONY SHOP MUMBAI,C2636980,9000.0,1,1
RANGAREDDY DIST,C5963144,9000.0,1,1
BOLPUR (WEST BENGAL),C5317872,8999.0,1,1
ROAD RAJKOT,C8637664,8999.0,1,1
SHAHAD,C3926959,8999.0,1,1
VARANAVASI,C1358029,8999.0,1,1
GHAZIPUR,C1721987,8995.0,1,1
MORBI,C5624425,8990.0,1,1
BAIHAR,C8218455,8956.0,1,1
MANAPALYA BOMMNAHALLI BANGALORE,C8219245,8945.0,1,1
PURI DISTRICT,C5732965,8944.0,1,1
AMRAI,C5278636,8926.0,1,1
SAKINAKA ANDHERI E MUMBAI,C4710984,8912.0,1,1
KUNNOTHUPARAMBA,C2737766,8900.0,1,1
KURUD,C2683823,8900.0,1,1
MIRAROAD THANE,C4097560,8900.0,1,1
STATION HYDERABAD,C8712376,8900.0,1,1
DWARKA,C2422230,8894.0,1,1
PILANI JHUNJHUNUN,C1431588,8861.91,1,1
MEWAT,C2880353,8857.0,1,1
TIRUCHIRAPALLY,C8611026,8843.0,1,1
CIRCLE ITANAGAR,C4335547,8840.0,1,1
EAST NALLOSAPARE E THANE,C2198344,8840.0,1,1
PAPUMPARE NAHARLAGUN,C5836465,8823.0,1,1
LAKHI SARAI,C4038874,8820.0,1,1
AND GANAPATI MANDIR THANE,C6324623,8800.69,1,1
AHMADABAD,C5991147,8800.0,1,1
SHIVSENA BHAWAN MUMBAI,C1611792,8800.0,1,1
BG ROAD BANGALORE,C7318683,8796.0,1,1
GHAZIABAD DISTT GHAZIABAD,C8625477,8792.99,1,1
KAZHAKUTTON,C1769958,8790.0,1,1
KHAND 2 INDIRAPURAM GHAZIABAD,C4818841,8772.0,1,1
ALLEPPEY,C6021532,8771.58,1,1
ANDHERI EAST,C8724818,8771.2,1,1
RAIA,C6122013,8764.0,1,1
HIRA BAZAR SURAT,C1725385,8752.0,1,1
DEHRA,C1715291,8749.0,1,1
FUNCTION HALL HYDERABAD,C3596144,8743.0,1,1
ANNANAGAR WEST EXTN,C5034182,8733.0,1,1
PURULIYA,C7238618,8733.0,1,1
NORTH 24 PARGANAS AXIS MALL KOLKATA,C2018611,8732.0,1,1
LINE ROAD HYDERABAD,C7519450,8725.19,1,1
BURAIDAH,C1710028,8720.0,1,1
PUMP AHMEDABAD,C1841829,8718.4,1,1
HALISAHAR,C2924841,8718.0,1,1
KHURDA,C6617050,8715.0,1,1
DIST WEST TRIPURA WEST TRIPURA,C7010519,8702.0,1,1
DHULE,C7216258,8700.0,1,1
KORAMANGALA BANGALORE,C8621983,8696.0,1,1
KOLKATTA,C1498751,8695.0,1,1
GADAG,C6224642,8693.0,1,1
RAMABAI NAGAR,C8621643,8690.0,1,1
MUNGER,C2118235,8678.0,1,1
CHENGANNUR,C5425621,8676.0,1,1
RANGAREDDY (DIST),C8727180,8661.5,1,1
GANDHINAGAR  HIGHWAY AHMEDABAD,C1439348,8660.0,1,1
BURHANPUR,C7310612,8650.0,1,1
SEAWOOD NERUL NAVI MUMBAI,C5117619,8650.0,1,1
MANDIR NAGPUR NAGPUR,C5826423,8640.0,1,1
K K NAGAR CHENNAI,C8120425,8630.0,1,1
DOMBIVALI (EAST),C7677326,8625.0,1,1
KALIKAPUR,C1811172,8602.88,1,1
BANDRA W MUMBAI,C3035667,8600.0,1,1
COLLEGE BANGALORE,C2936979,8600.0,1,1
MIRA RD EAST  MUMBAI,C3823729,8600.0,1,1
CAMPBELL,C1924766,8598.0,1,1
BPCL OFFICE KOLKATA,C7023914,8595.0,1,1
BIAWAR,C5737620,8590.0,1,1
NAWASHAHR,C3333659,8587.0,1,1
KURSEONG,C3134236,8581.03,1,1
IPOH,C8932234,8579.0,1,1
DORAHA,C1421515,8576.0,1,1
GAITHERSBURG,C4675357,8560.0,1,1
DOMBIVLI WEST,C3930517,8550.5,1,1
RAYMOND GROCERY SHOP ASANSOL,C8821835,8550.0,1,1
THANE MUMBAI,C4419283,8530.0,1,1
MOKOKCHUNG,C3416723,8515.85,1,1
BANDIKUI,C3118265,8514.83,1,1
BAPATMARG LOWERPAREL (W) MUMBAI,C3733121,8500.0,1,1
KOTHAMANGALAM,C5977223,8500.0,1,1
LALA TEMPLE HYDERABAD,C3735272,8500.0,1,1
MARATHAHALLI RING RD BANGALORE,C8730740,8500.0,1,1
PANNA SHOPPING CENTRE JOGESHWARI W,C4725590,8500.0,1,1
URMAR TANDA,C7026046,8500.0,1,1
UT OF DADRA AND NAGAR,C1622574,8500.0,1,1
24 PGNS NORTH,C1034333,8497.0,1,1
CUNCOLIM SALCETTE,C8447381,8496.0,1,1
MIRA ROAD (E) THANE,C2150039,8495.0,1,1
DOMBIVLI EAST,C4225571,8493.0,1,1
KALYAN (W),C8616675,8491.0,1,1
GARDEN CHOWK PIMPLE SAUDAGAR PUNE,C3424281,8490.0,1,1
CORLIM,C8317448,8483.0,1,1
CHETNA COLLEGE BANDRA E MUMBAI,C4514024,8480.0,1,1
BANK ATM BANGALORE,C5638231,8472.0,1,1
W E HIGHWAY MUMBAI,C7930013,8468.0,1,1
CHAMBA,C4227750,8450.0,1,1
TALEGAON DABHADE,C7127547,8448.0,1,1
DEGREE COLLGE NELLORE,C6421430,8436.32,1,1
BAZAAR T NAGAR CHENNAI,C2631936,8400.0,1,1
CARINDALE,C1726253,8400.0,1,1
DIST THANE,C7141350,8400.0,1,1
JWELLS THANE,C8741860,8400.0,1,1
NEW BEL ROAD BANGALORE,C6310458,8400.0,1,1
CHIKKADORNABETTA,C4215051,8395.0,1,1
BEED,C2842843,8370.0,1,1
MALEGAON,C2312451,8370.0,1,1
AKSHAY MITTAL MUMBAI,C5436583,8350.0,1,1
PRAKASAM,C2516647,8349.0,1,1
KAIMUR(BHABUA),C7641314,8333.0,1,1
DEPOT CHEMBUR MUMBAI,C7223942,8331.25,1,1
(INDIA ) NAGPUR,C5527045,8330.0,1,1
MALAPURAM,C1834433,8320.0,1,1
SONARPUR SPORTING KOLKATA,C8739271,8318.0,1,1
DIST BURDWAN,C7880254,8312.0,1,1
AHMADI,C8194463,8300.0,1,1
KESTOPUR MORE KOLKATA,C4510849,8300.0,1,1
STATION SECUNDERABAD,C8655336,8300.0,1,1
SECTOR-3 KHARGHAR RAIGARH,C4487977,8296.32,1,1
CENTRE ANDHERI W MUMBAI,C7397089,8294.0,1,1
SCHOOL PAWAI MUMBAI,C4955085,8294.0,1,1
GAUTAM BUDDHANAGAR,C6332080,8293.0,1,1
PITHORAGARH,C6014548,8290.0,1,1
KARSOG,C6815072,8280.0,1,1
MARATHALLI RING RD BANGALORE,C8341753,8262.0,1,1
VIDYAPITH SOUTH 24 PARGANAS,C6910511,8257.0,1,1
